y,x1,x2,x3,x4,x5,x6,x7,x8,x9
-0.133884465223386,273.0,82.0,105.0,210.0,9.0,904.0,680.0,23.0,62.0
0.650731266997483,163.0,149.0,191.0,180.0,12.0,843.0,746.0,0.0,20.0
0.736209728881708,162.0,148.0,191.0,179.0,16.0,840.0,743.0,1.0,20.0
0.770656273223112,162.0,148.0,190.0,179.0,19.0,838.0,741.0,3.0,21.5
-1.1762113810355,154.0,112.0,144.0,220.0,10.0,923.0,658.0,20.0,64.0
-1.38161484914535,147.0,89.0,115.0,202.0,9.0,860.0,829.0,23.0,55.0
0.359849337003405,152.0,139.0,178.0,168.0,18.0,944.0,695.0,0.0,20.0
0.0702432049478974,145.0,0.0,227.0,240.0,6.0,750.0,853.0,14.5,58.5
-0.424766395217465,152.0,0.0,237.0,204.0,6.0,785.0,892.0,15.5,51.0
0.308817419460584,304.0,0.0,140.0,214.0,6.0,895.0,722.0,19.0,51.0
-1.27827521612114,145.0,106.0,136.0,208.0,10.0,751.0,883.0,24.5,61.0
-1.02183983046847,148.0,109.0,139.0,193.0,7.0,768.0,902.0,23.75,58.0
-0.595723318985914,142.0,130.0,167.0,215.0,6.0,735.0,836.0,25.5,67.0
-0.271670642589003,354.0,0.0,0.0,234.0,6.0,959.0,691.0,17.0,54.0
-0.459212939558869,374.0,0.0,0.0,190.0,7.0,1013.0,730.0,14.5,42.5
-0.253809471449015,159.0,116.0,149.0,175.0,15.0,953.0,720.0,23.5,54.5
-0.988669084065634,153.0,0.0,239.0,200.0,6.0,1002.0,684.0,12.0,35.0
0.634145893796066,295.0,106.0,136.0,206.0,11.0,750.0,766.0,25.0,68.5
1.69178238487103,310.0,0.0,143.0,168.0,10.0,914.0,804.0,20.5,48.2
-0.868744077840005,296.0,97.0,0.0,219.0,9.0,932.0,685.0,15.0,48.5
-0.799850989157197,305.0,100.0,0.0,196.0,10.0,959.0,705.0,20.0,49.0
0.0192112874050759,310.0,0.0,143.0,218.0,10.0,787.0,804.0,13.0,46.0
-2.23512367004903,148.0,180.0,0.0,183.0,11.0,972.0,757.0,0.0,20.0
-2.40480479587891,146.0,178.0,0.0,192.0,11.0,961.0,749.0,18.0,46.0
0.0868285781493136,142.0,130.0,167.0,174.0,11.0,883.0,785.0,0.0,20.0
-0.339287933333239,140.0,128.0,164.0,183.0,12.0,871.0,775.0,23.75,53.0
0.770656273223112,308.0,111.0,142.0,217.0,10.0,783.0,686.0,25.0,70.0
0.428742425686213,295.0,106.0,136.0,208.0,6.0,871.0,650.0,26.5,70.0
0.6673166401989,298.0,107.0,137.0,201.0,6.0,878.0,655.0,16.0,26.0
0.650731266997483,314.0,0.0,161.0,207.0,6.0,851.0,757.0,21.5,64.0
1.24780470224849,321.0,0.0,164.0,190.0,5.0,870.0,774.0,24.0,60.0
1.0092304877358,349.0,0.0,178.0,230.0,6.0,785.0,721.0,20.0,68.5
2.11917469429215,366.0,0.0,187.0,191.0,7.0,824.0,757.0,24.75,62.7
-0.0662671744791482,274.0,89.0,115.0,202.0,9.0,759.0,827.0,26.5,68.0
-0.202777553906194,137.0,167.0,214.0,226.0,6.0,708.0,757.0,27.5,70.0
0.956922772254408,275.0,99.0,127.0,184.0,13.0,810.0,790.0,25.75,64.5
-0.373734477674644,252.0,76.0,97.0,194.0,8.0,835.0,821.0,23.0,54.0
-2.26829441645187,165.0,150.0,0.0,182.0,12.0,1023.0,729.0,14.5,20.0
-0.133884465223386,158.0,0.0,246.0,174.0,7.0,1035.0,706.0,19.0,43.0
-0.288256015790419,156.0,0.0,243.0,180.0,11.0,1022.0,698.0,21.0,57.0
-0.0484060033391618,145.0,177.0,227.0,209.0,11.0,752.0,715.0,2.5,20.0
-0.322702560131823,154.0,141.0,181.0,234.0,11.0,797.0,683.0,23.0,65.0
-0.322702560131823,160.0,146.0,188.0,203.0,11.0,829.0,710.0,13.0,38.0
-1.07414754594986,291.0,105.0,0.0,205.0,6.0,859.0,797.0,24.0,59.0
-0.646755236528735,298.0,107.0,0.0,186.0,6.0,879.0,815.0,3.0,20.0
-0.544691401443093,318.0,126.0,0.0,210.0,6.0,861.0,737.0,17.5,48.0
0.172307040033539,280.0,92.0,118.0,207.0,9.0,883.0,679.0,25.5,64.0
0.88930548151017,287.0,94.0,121.0,188.0,9.0,904.0,696.0,25.0,61.0
2.86934388217162,332.0,0.0,170.0,160.0,6.0,900.0,806.0,0.0,20.0
2.11917469429215,326.0,0.0,167.0,174.0,6.0,884.0,792.0,21.5,42.0
1.23121932904707,320.0,0.0,163.0,188.0,9.0,866.0,776.0,23.5,60.0
-0.51024485710169,342.0,136.0,0.0,225.0,11.0,770.0,747.0,21.0,61.0
0.0536578317464803,356.0,142.0,0.0,193.0,11.0,801.0,778.0,8.0,30.0
0.325402792662001,309.0,0.0,142.0,218.0,10.0,912.0,680.0,24.0,62.0
1.19677278470567,322.0,0.0,149.0,186.0,8.0,951.0,709.0,20.5,61.5
-2.14964520816481,159.0,193.0,0.0,208.0,12.0,821.0,818.0,23.0,50.0
-0.579137945784498,307.0,110.0,0.0,189.0,10.0,904.0,765.0,22.0,40.0
-0.817712160297185,313.0,124.0,0.0,205.0,11.0,846.0,758.0,22.0,49.0
-1.22724329857832,143.0,131.0,168.0,217.0,6.0,891.0,672.0,25.0,69.0
-0.834297533498601,140.0,128.0,164.0,237.0,6.0,869.0,656.0,24.0,65.0
-0.424766395217465,278.0,0.0,117.0,205.0,9.0,875.0,799.0,19.0,48.0
0.49635971643045,288.0,0.0,121.0,177.0,7.0,908.0,829.0,22.5,48.5
-0.988669084065634,299.0,107.0,0.0,210.0,10.0,881.0,745.0,25.0,63.0
-0.715648325211543,291.0,104.0,0.0,231.0,9.0,857.0,725.0,23.0,69.0
0.172307040033539,265.0,86.0,111.0,195.0,6.0,833.0,790.0,27.0,60.0
-0.0828525476805653,159.0,0.0,248.0,175.0,12.0,1041.0,683.0,21.0,51.0
0.206753584374942,160.0,0.0,250.0,168.0,12.0,1049.0,688.0,18.0,48.0
0.548667431911842,166.0,0.0,260.0,183.0,13.0,859.0,827.0,21.0,54.0
1.31669779093129,320.0,127.0,164.0,211.0,6.0,721.0,723.0,2.0,20.0
-0.528106028241677,336.0,134.0,0.0,222.0,6.0,756.0,787.0,26.0,64.0
1.02581586093722,276.0,90.0,116.0,180.0,9.0,870.0,768.0,0.0,20.0
-1.00525445726705,313.0,112.0,0.0,220.0,10.0,794.0,789.0,23.0,58.0
-0.799850989157197,322.0,116.0,0.0,196.0,10.0,818.0,813.0,25.5,67.0
0.6673166401989,294.0,106.0,136.0,207.0,6.0,747.0,778.0,24.0,47.0
-1.03970100160845,146.0,106.0,137.0,209.0,6.0,875.0,765.0,24.0,67.0
-0.936361368584243,149.0,109.0,139.0,193.0,6.0,892.0,780.0,23.5,58.5
-0.442627566357452,159.0,0.0,187.0,176.0,11.0,990.0,789.0,12.0,39.0
-0.237224098247598,261.0,78.0,100.0,201.0,9.0,864.0,761.0,23.0,63.5
-0.664616407668723,140.0,1.4,198.1,174.9,4.4,1049.9,780.5,16.25,31.0
-0.715648325211543,141.1,0.6,209.5,188.8,4.6,996.1,789.2,23.5,53.0
-1.22724329857832,140.1,4.2,215.9,193.9,4.7,1049.5,710.1,24.5,57.0
-1.24510446971831,140.1,11.8,226.1,207.8,4.9,1020.9,683.8,21.0,64.0
0.0192112874050759,160.2,0.3,240.0,233.5,9.2,781.0,841.1,24.0,75.0
0.035796660606493,140.2,30.5,239.0,169.4,5.3,1028.4,742.7,21.25,46.0
-0.288256015790419,140.2,44.8,234.9,171.3,5.5,1047.6,704.0,23.5,52.5
-0.646755236528735,140.5,61.1,238.9,182.5,5.7,1017.7,681.4,24.5,60.0
-1.1417648366941,143.3,91.8,239.8,200.8,6.2,964.8,647.1,25.0,55.0
0.308817419460584,194.3,0.3,240.0,234.2,8.9,780.6,811.3,26.5,78.0
0.239924330777776,150.4,110.9,239.7,168.1,6.5,1000.2,667.2,9.5,27.5
0.27437087511918,150.3,111.4,238.8,167.3,6.5,999.5,670.5,14.5,36.5
-0.0662671744791482,155.4,122.1,240.0,179.9,6.7,966.8,652.5,14.5,41.5
-0.408181022016047,165.3,143.2,238.3,200.4,7.1,883.2,652.6,17.0,27.0
1.07684777848004,303.8,0.2,239.8,236.4,8.3,780.1,715.3,25.0,78.0
0.701763184540304,172.0,162.1,238.5,166.0,7.4,953.3,641.4,0.0,20.0
0.736209728881708,172.8,158.3,239.5,166.4,7.4,952.6,644.1,0.0,20.0
0.634145893796066,184.3,153.4,239.2,179.0,7.5,920.2,640.9,0.0,20.0
0.394295881344809,215.6,112.9,239.0,198.7,7.4,884.0,649.1,27.5,64.0
1.02581586093722,295.3,0.0,239.9,236.2,8.3,780.3,722.9,25.0,77.0
1.77726084675525,248.3,101.0,239.1,168.9,7.7,954.2,640.6,0.0,20.0
1.81043159315809,248.0,101.0,239.9,169.1,7.7,949.9,644.1,2.0,20.0
1.84487813749949,258.8,88.0,239.6,175.3,7.6,938.9,646.0,0.0,20.0
1.67519701166961,297.1,40.9,239.9,194.0,7.5,908.9,651.8,27.5,67.0
1.62416509412679,348.7,0.1,223.1,208.5,9.6,786.2,758.1,29.0,78.0
